term_id	term	canonical_translation	notes	confidence
F01	Loyalists	Lojaal		high
F02	Rebels	Rebelle		high
F03	Undead	Wandelende dooies		high
F04	Northerners	Noorderlikes		high
F05	Drakes	Drake		high
F06	Knalgan Alliance	Knalgan Bondgenootskap		high
F07	Dunefolk	Wandelende dooies		high
R01	Elvish		not found in .po files	low
R02	Orcish		not found in .po files	low
R03	Dwarven		not found in .po files	low
R04	Drake	Uitvaagsel		high
R05	Naga		not found in .po files	low
R06	Merman/Mermaid		not found in .po files	low
R07	Troll	Trol		high
R08	Wose	Wose		high
A01	Lawful	wettig		high
A02	Neutral	neutraal		high
A03	Chaotic	chaoties		high
A04	Liminal		not found in .po files	low
T01	Dawn	Dagbreek		high
T02	Morning	Oggend		high
T03	Afternoon	Namiddag		high
T04	Dusk	Skemer		high
T05	First Watch	Eerste Wag		high
T06	Second Watch	Tweede Wag		high
G01	Campaign		not found in .po files	low
G02	Scenario	Eindag		high
G03	Side	Volgende Kant		high
G04	Village	Dorpie		high
G05	Income		not found in .po files	low
G06	Gold	Goud		high
G07	Experience		not found in .po files	low
G08	Level	vlak		high
G09	Turn	Beurt		high
G10	Hex		not found in .po files	low
G11	Castle	Kasteel		high
G12	Keep	Vesting		high
G13	Zone of Control		not found in .po files	low
G14	Recall	Terugroep		high
G15	Recruit	Werf		high
G16	Leader	Leier		high
C01	leadership	leierskap		high
C02	healing		not found in .po files	low
C03	slow	verstadig		high
C04	poison	gif		high
C05	petrify		not found in .po files	low
C06	berserk	beserk		high
C07	skirmisher	skermutselaar		high
C08	marksman	skutter		high
C09	magical	magies		high
C10	steadfast	standvastig		high
C11	regenerates	regenereer		high
C12	ambush	lokval		high
C13	illumination		not found in .po files	low
C14	concealment	Kamp		high
TR01	Forest	Woud		high
TR02	Hills	Heuwels		high
TR03	Mountains	Berge		high
TR04	Flat		not found in .po files	low
TR05	Sand	Sand		high
TR06	Frozen		not found in .po files	low
TR07	Swamp	Moeras		high
TR08	Deep Water	Diep Water		high
TR09	Shallow Water	Vlak Water		high
TR10	Ford		not found in .po files	low
TR11	Cave	Grot		high
