term_id	term	canonical_translation	notes	confidence
F01	Loyalists		not found in .po files	low
F02	Rebels		not found in .po files	low
F03	Undead	Undeade		high
F04	Northerners		not found in .po files	low
F05	Drakes		not found in .po files	low
F06	Knalgan Alliance		not found in .po files	low
F07	Dunefolk	Undeade		high
R01	Elvish		not found in .po files	low
R02	Orcish		not found in .po files	low
R03	Dwarven		not found in .po files	low
R04	Drake		not found in .po files	low
R05	Naga	Naga		high
R06	Merman/Mermaid		not found in .po files	low
R07	Troll	Eoten		high
R08	Wose	Ƿuduƿasa		high
A01	Lawful	dæglicu		high
A02	Neutral	efen		high
A03	Chaotic	nihtlic		high
A04	Liminal	glomlic		high
T01	Dawn	Dagung		high
T02	Morning	Morgen		high
T03	Afternoon	Ofernon		high
T04	Dusk	Foranniht		high
T05	First Watch	Forme Ƿæcc		high
T06	Second Watch	Oðru Ƿæcc		high
G01	Campaign	Fyrd		high
G02	Scenario	Capitol		high
G03	Side		not found in .po files	low
G04	Village	Þorp		high
G05	Income	Ƿilcuma		high
G06	Gold	Gold		high
G07	Experience		not found in .po files	low
G08	Level	mæþ		high
G09	Turn		not found in .po files	low
G10	Hex		not found in .po files	low
G11	Castle	Burg		high
G12	Keep		not found in .po files	low
G13	Zone of Control		not found in .po files	low
G14	Recall		not found in .po files	low
G15	Recruit		not found in .po files	low
G16	Leader	Lædere		high
C01	leadership	ladscipe		high
C02	healing		not found in .po files	low
C03	slow	slaƿ		high
C04	poison	ator		high
C05	petrify		not found in .po files	low
C06	berserk		not found in .po files	low
C07	skirmisher		not found in .po files	low
C08	marksman		not found in .po files	low
C09	magical	drylic		high
C10	steadfast	stedefæst		high
C11	regenerates		not found in .po files	low
C12	ambush	sæt		high
C13	illumination		not found in .po files	low
C14	concealment		not found in .po files	low
TR01	Forest	Ƿeald		high
TR02	Hills	Hyllas		high
TR03	Mountains	Beorgas		high
TR04	Flat	Fild		high
TR05	Sand	Sand		high
TR06	Frozen	Gefroren		high
TR07	Swamp		not found in .po files	low
TR08	Deep Water	Deop Ƿæter		high
TR09	Shallow Water	Sceald Ƿæter		high
TR10	Ford	Ford		high
TR11	Cave	Scræf		high
