term_id	term	canonical_translation	notes	confidence
F01	Loyalists	Lleialtat		high
F02	Rebels		not found in .po files	low
F03	Undead	no mort		high
F04	Northerners		not found in .po files	low
F05	Drakes	Dracs		high
F06	Knalgan Alliance		not found in .po files	low
F07	Dunefolk	No morts		high
R01	Elvish		not found in .po files	low
R02	Orcish		not found in .po files	low
R03	Dwarven		not found in .po files	low
R04	Drake	Drac		high
R05	Naga	Naga		high
R06	Merman/Mermaid		not found in .po files	low
R07	Troll	Trol		high
R08	Wose	Wose		high
A01	Lawful	lleial		high
A02	Neutral	neutral		high
A03	Chaotic	caòtic		high
A04	Liminal	lleial		high
T01	Dawn	Alba		high
T02	Morning	Matí		high
T03	Afternoon	Migdia		high
T04	Dusk	Vespre		high
T05	First Watch	Nit		high
T06	Second Watch	Matinada		high
G01	Campaign	Campanya		high
G02	Scenario	Fi de l'escenari		high
G03	Side	Bàndol següent		high
G04	Village	Llogaret		high
G05	Income		not found in .po files	low
G06	Gold	Or		high
G07	Experience		not found in .po files	low
G08	Level	nivell		high
G09	Turn	Torn		high
G10	Hex		not found in .po files	low
G11	Castle	Castell		high
G12	Keep	Torre		high
G13	Zone of Control		not found in .po files	low
G14	Recall	Reincorpora		high
G15	Recruit	Recluta		high
G16	Leader	Líder		high
C01	leadership	lideratge		high
C02	healing		not found in .po files	low
C03	slow	lent		high
C04	poison	verí		high
C05	petrify		not found in .po files	low
C06	berserk	berserk		high
C07	skirmisher	fustigació		high
C08	marksman	tirador		high
C09	magical	màgic		high
C10	steadfast	fermesa		high
C11	regenerates	regeneració		high
C12	ambush	emboscada		high
C13	illumination		not found in .po files	low
C14	concealment	dissimulació		high
TR01	Forest	Bosc		high
TR02	Hills	Turons		high
TR03	Mountains	Muntanyes		high
TR04	Flat	Plana		high
TR05	Sand	Sorra		high
TR06	Frozen	Gelat		high
TR07	Swamp	Pantà		high
TR08	Deep Water	Aigua profunda		high
TR09	Shallow Water	Aigua baixa		high
TR10	Ford		not found in .po files	low
TR11	Cave	Cova		high
