term_id	term	canonical_translation	notes	confidence
F01	Loyalists	Loyalists		high
F02	Rebels	Odbojní		high
F03	Undead	Nemrtví		high
F04	Northerners	Northerners		high
F05	Drakes	Drakonidé		high
F06	Knalgan Alliance	Knalžská aliance		high
F07	Dunefolk	Pouštní lid		high
R01	Elvish		not found in .po files	low
R02	Orcish		not found in .po files	low
R03	Dwarven		not found in .po files	low
R04	Drake	Drakonid		high
R05	Naga	Nága		high
R06	Merman/Mermaid		not found in .po files	low
R07	Troll	Troll		high
R08	Wose	Stromový muž		high
A01	Lawful	zákonný		high
A02	Neutral	neutrální		high
A03	Chaotic	chaotický		high
A04	Liminal	šerý		high
T01	Dawn	Svítání		high
T02	Morning	Dopoledne		high
T03	Afternoon	Odpoledne		high
T04	Dusk	Soumrak		high
T05	First Watch	První hlídka		high
T06	Second Watch	Druhá hlídka		high
G01	Campaign	Tažení		high
G02	Scenario	Scénář		high
G03	Side	Strana		high
G04	Village	Vesnice		high
G05	Income	Příjem		high
G06	Gold	Zlatých		high
G07	Experience		not found in .po files	low
G08	Level	Úroveň		high
G09	Turn	Kolo		high
G10	Hex		not found in .po files	low
G11	Castle	Hrad		high
G12	Keep	Pevnost		high
G13	Zone of Control	Oblast kontroly		high
G14	Recall	Povolat		high
G15	Recruit	Naverbovat		high
G16	Leader	Vůdce		high
C01	leadership	velení		high
C02	healing		not found in .po files	low
C03	slow	pomalý		high
C04	poison	otrava		high
C05	petrify		not found in .po files	low
C06	berserk	na život a na smrt		high
C07	skirmisher	průbojnost		high
C08	marksman	odstřelovač		high
C09	magical	magický		high
C10	steadfast	vytrvalý		high
C11	regenerates	regeneruje		high
C12	ambush	přepadení		high
C13	illumination		not found in .po files	low
C14	concealment	skrývání		high
TR01	Forest	Les		high
TR02	Hills	Kopce	FLAG: extracted 'Hory' means Mountains — same as TR03. Hills and Mountains are distinct terrain types. Czech may render Hills as 'Kopce' (small hills) or 'Pahorky'. Confidence lowered.	medium
TR03	Mountains	Hory		high
TR04	Flat	Plocha		high
TR05	Sand	Písek		high
TR06	Frozen	Zmrzlý		high
TR07	Swamp	Močál		high
TR08	Deep Water	Hluboká voda		high
TR09	Shallow Water	Mělká voda		high
TR10	Ford	Brod		high
TR11	Cave	Jeskyně		high
