term_id	term	canonical_translation	notes	confidence
F01	Loyalists		not found in .po files	low
F02	Rebels		not found in .po files	low
F03	Undead		not found in .po files	low
F04	Northerners		not found in .po files	low
F05	Drakes		not found in .po files	low
F06	Knalgan Alliance		not found in .po files	low
F07	Dunefolk		not found in .po files	low
R01	Elvish		not found in .po files	low
R02	Orcish		not found in .po files	low
R03	Dwarven		not found in .po files	low
R04	Drake		not found in .po files	low
R05	Naga		not found in .po files	low
R06	Merman/Mermaid		not found in .po files	low
R07	Troll		not found in .po files	low
R08	Wose		not found in .po files	low
A01	Lawful		not found in .po files	low
A02	Neutral		not found in .po files	low
A03	Chaotic		not found in .po files	low
A04	Liminal		not found in .po files	low
T01	Dawn		not found in .po files	low
T02	Morning		not found in .po files	low
T03	Afternoon		not found in .po files	low
T04	Dusk		not found in .po files	low
T05	First Watch		not found in .po files	low
T06	Second Watch		not found in .po files	low
G01	Campaign		not found in .po files	low
G02	Scenario		not found in .po files	low
G03	Side		not found in .po files	low
G04	Village		not found in .po files	low
G05	Income		not found in .po files	low
G06	Gold		not found in .po files	low
G07	Experience		not found in .po files	low
G08	Level		not found in .po files	low
G09	Turn		not found in .po files	low
G10	Hex		not found in .po files	low
G11	Castle		not found in .po files	low
G12	Keep		not found in .po files	low
G13	Zone of Control		not found in .po files	low
G14	Recall		not found in .po files	low
G15	Recruit		not found in .po files	low
G16	Leader		not found in .po files	low
C01	leadership		not found in .po files	low
C02	healing		not found in .po files	low
C03	slow		not found in .po files	low
C04	poison		not found in .po files	low
C05	petrify		not found in .po files	low
C06	berserk		not found in .po files	low
C07	skirmisher		not found in .po files	low
C08	marksman		not found in .po files	low
C09	magical		not found in .po files	low
C10	steadfast		not found in .po files	low
C11	regenerates		not found in .po files	low
C12	ambush		not found in .po files	low
C13	illumination		not found in .po files	low
C14	concealment		not found in .po files	low
TR01	Forest		not found in .po files	low
TR02	Hills		not found in .po files	low
TR03	Mountains		not found in .po files	low
TR04	Flat		not found in .po files	low
TR05	Sand		not found in .po files	low
TR06	Frozen		not found in .po files	low
TR07	Swamp		not found in .po files	low
TR08	Deep Water		not found in .po files	low
TR09	Shallow Water		not found in .po files	low
TR10	Ford		not found in .po files	low
TR11	Cave		not found in .po files	low
