term_id	term	canonical_translation	notes	confidence
F01	Loyalists	Loyalists		high
F02	Rebels	Rebellen		high
F03	Undead	Untote		high
F04	Northerners	Northerners		high
F05	Drakes	Draken		high
F06	Knalgan Alliance	Knalga-Allianz		high
F07	Dunefolk	Wüstenvolk		high
R01	Elvish		not found in .po files	low
R02	Orcish		not found in .po files	low
R03	Dwarven		not found in .po files	low
R04	Drake	Drake		high
R05	Naga	Naga		high
R06	Merman/Mermaid		not found in .po files	low
R07	Troll	Troll		high
R08	Wose	Waldschrat		high
A01	Lawful	redlich		high
A02	Neutral	neutral		high
A03	Chaotic	lichtscheu		high
A04	Liminal	zwielichtig		high
T01	Dawn	Morgengrauen		high
T02	Morning	Vormittag		high
T03	Afternoon	Nachmittag		high
T04	Dusk	Abenddämmerung		high
T05	First Watch	Erste Wache		high
T06	Second Watch	Zweite Wache		high
G01	Campaign	Kampagne		high
G02	Scenario	Szenario		high
G03	Side	Partei		high
G04	Village	Dorf		high
G05	Income	Einkommen		high
G06	Gold	Gold		high
G07	Experience		not found in .po files	low
G08	Level	Stufe		high
G09	Turn	Runde		high
G10	Hex		not found in .po files	low
G11	Castle	Burg		high
G12	Keep	Burgfried		high
G13	Zone of Control	Kontrollzone		high
G14	Recall	Einberufen		high
G15	Recruit	Ausbilden		high
G16	Leader	Heerführer		high
C01	leadership	Führungsqualitäten		high
C02	healing		not found in .po files	low
C03	slow	behäbig		high
C04	poison	Gift		high
C05	petrify		not found in .po files	low
C06	berserk	Kampfrausch		high
C07	skirmisher	Plänkler		high
C08	marksman	Treffsicherheit		high
C09	magical	Magie		high
C10	steadfast	Unerschütterlich		high
C11	regenerates	Regeneration		high
C12	ambush	Waldkenntnis		high
C13	illumination		not found in .po files	low
C14	concealment	Gassenwissen		high
TR01	Forest	Wald		high
TR02	Hills	Hügel		high
TR03	Mountains	Berge		high
TR04	Flat	Flachland		high
TR05	Sand	Sand		high
TR06	Frozen	Gefroren		high
TR07	Swamp	Sumpf		high
TR08	Deep Water	Tiefes Wasser		high
TR09	Shallow Water	Seichtes Wasser		high
TR10	Ford	Furt		high
TR11	Cave	Höhle		high
