term_id	term	canonical_translation	notes	confidence
F01	Loyalists	Φιλοβασιλικοί 		high
F02	Rebels	Αντάρτες		high
F03	Undead	Ζωντανοί-Νεκροί		high
F04	Northerners	Βόρειοι		high
F05	Drakes	Δρακοειδή		high
F06	Knalgan Alliance	Συμμαχία της Κνάλγκα		high
F07	Dunefolk	Αμμόλαος		high
R01	Elvish		not found in .po files	low
R02	Orcish		not found in .po files	low
R03	Dwarven		not found in .po files	low
R04	Drake	Δρακοειδές		high
R05	Naga	Νάγκα		high
R06	Merman/Mermaid		not found in .po files	low
R07	Troll	Τρόλ		high
R08	Wose	Δενδροποιμένας		high
A01	Lawful	Νομοταγής		high
A02	Neutral	ουδέτερος		high
A03	Chaotic	χαοτικός		high
A04	Liminal	Οριακός		high
T01	Dawn	Χάραμα		high
T02	Morning	Πρωί		high
T03	Afternoon	Απόγευμα		high
T04	Dusk	Σούρουπο		high
T05	First Watch	Πρώτη Νυχτερινή Βάρδια		high
T06	Second Watch	Δεύτερη Νυχτερινή Βάρδια		high
G01	Campaign	Εκστρατεία		high
G02	Scenario	Αποστολή		high
G03	Side	Πλευρά		high
G04	Village	Χωριό		high
G05	Income	Εισόδημα		high
G06	Gold	Χρυσό		high
G07	Experience		not found in .po files	low
G08	Level	Επίπεδο		high
G09	Turn	Γύρος		high
G10	Hex		not found in .po files	low
G11	Castle	Κάστρο		high
G12	Keep	Πύργος		high
G13	Zone of Control		not found in .po files	low
G14	Recall	Ανάκληση		high
G15	Recruit	Στρατολόγηση		high
G16	Leader	Αρχηγός		high
C01	leadership	ηγεσία		high
C02	healing		not found in .po files	low
C03	slow	αργός		high
C04	poison	δηλητήριο		high
C05	petrify		not found in .po files	low
C06	berserk	μανιακός		high
C07	skirmisher	ακροβολιστής		high
C08	marksman	δεινός σκοπευτής		high
C09	magical	μαγική		high
C10	steadfast	απτόητος		high
C11	regenerates	αναπλάθεται		high
C12	ambush	ενέδρα		high
C13	illumination		not found in .po files	low
C14	concealment	απόκρυψη		high
TR01	Forest	Δάσος		high
TR02	Hills	Λόφοι		high
TR03	Mountains	Βουνά		high
TR04	Flat	Επίπεδο		high
TR05	Sand	Άμμος		high
TR06	Frozen	Παγωμένο		high
TR07	Swamp	Βάλτος		high
TR08	Deep Water	Βαθιά Νερά		high
TR09	Shallow Water	Αβαθή Νερά		high
TR10	Ford	Διάβαση		high
TR11	Cave	Σπηλιά		high
