term_id	term	canonical_translation	notes	confidence
F01	Loyalists	𐑤𐑶𐑩𐑤		high
F02	Rebels	𐑮𐑩𐑚𐑧𐑤𐑟		high
F03	Undead	𐑳𐑯𐑛𐑧𐑛		high
F04	Northerners	𐑯𐑹𐑞𐑻𐑯𐑻𐑟		high
F05	Drakes	𐑛𐑮𐑱𐑒𐑕		high
F06	Knalgan Alliance	Knalgan 𐑩𐑤𐑲𐑩𐑯𐑕		high
F07	Dunefolk	𐑳𐑯𐑛𐑧𐑛		high
R01	Elvish		not found in .po files	low
R02	Orcish		not found in .po files	low
R03	Dwarven		not found in .po files	low
R04	Drake	𐑛𐑮𐑱𐑒		high
R05	Naga	𐑯𐑭𐑜𐑩		high
R06	Merman/Mermaid		not found in .po files	low
R07	Troll	𐑑𐑮𐑴𐑤		high
R08	Wose	𐑢𐑴𐑟		high
A01	Lawful	𐑤𐑷𐑓𐑫𐑤		high
A02	Neutral	𐑯𐑵𐑑𐑮𐑩𐑤		high
A03	Chaotic	𐑒𐑱𐑭𐑑𐑦𐑒		high
A04	Liminal	𐑤𐑶𐑩𐑤		high
T01	Dawn	𐑛𐑷𐑯		high
T02	Morning	𐑢𐑹𐑯𐑦𐑙: 		high
T03	Afternoon	𐑭𐑓𐑑𐑼𐑯𐑵𐑯		high
T04	Dusk	𐑛𐑩𐑕𐑒		high
T05	First Watch	𐑓𐑻𐑕𐑑 𐑢𐑪𐑡		high
T06	Second Watch	𐑕𐑧𐑒𐑩𐑯𐑛 𐑢𐑪𐑡		high
G01	Campaign	𐑒𐑨𐑥𐑐𐑱𐑯		high
G02	Scenario	𐑧𐑯𐑛 𐑕𐑦𐑯𐑺𐑰𐑴		high
G03	Side	𐑯𐑧𐑒𐑕𐑑 𐑕𐑲𐑛		high
G04	Village	𐑝𐑦𐑤𐑦𐑡		high
G05	Income	𐑢𐑧𐑤𐑒𐑩𐑥		high
G06	Gold	𐑜𐑴𐑤𐑛		high
G07	Experience		not found in .po files	low
G08	Level	𐑤𐑧𐑝𐑩𐑤		high
G09	Turn	𐑑𐑻𐑯		high
G10	Hex		not found in .po files	low
G11	Castle	𐑒𐑨𐑕𐑩𐑤		high
G12	Keep	𐑒𐑰𐑐		high
G13	Zone of Control		not found in .po files	low
G14	Recall	𐑮𐑰𐑒𐑷𐑤		high
G15	Recruit	𐑮𐑩𐑒𐑮𐑵𐑑		high
G16	Leader	𐑤𐑰𐑛𐑻		high
C01	leadership	𐑤𐑰𐑛𐑼𐑖𐑦𐑐		high
C02	healing		not found in .po files	low
C03	slow	𐑕𐑤𐑴		high
C04	poison	𐑐𐑶𐑟𐑩𐑯		high
C05	petrify		not found in .po files	low
C06	berserk	𐑚𐑻𐑕𐑻𐑒		high
C07	skirmisher	𐑕𐑒𐑻𐑥𐑦𐑖𐑻		high
C08	marksman	𐑥𐑸𐑒𐑕𐑥𐑩𐑯		high
C09	magical	𐑥𐑨𐑡𐑦𐑒𐑩𐑤		high
C10	steadfast	𐑕𐑑𐑧𐑛𐑓𐑭𐑕𐑑		high
C11	regenerates	𐑮𐑰𐑡𐑧𐑯𐑻𐑱𐑑𐑕		high
C12	ambush	𐑨𐑥𐑚𐑫𐑖		high
C13	illumination		not found in .po files	low
C14	concealment	𐑒𐑩𐑯𐑕𐑰𐑤𐑥𐑩𐑯𐑑		high
TR01	Forest	𐑓𐑹𐑦𐑕𐑑		high
TR02	Hills	𐑣𐑦𐑤𐑟		high
TR03	Mountains	𐑥𐑬𐑯𐑑𐑩𐑯𐑟		high
TR04	Flat	𐑓𐑤𐑨𐑑		high
TR05	Sand	𐑕𐑭𐑯𐑛		high
TR06	Frozen	𐑓𐑮𐑴𐑟𐑩𐑯		high
TR07	Swamp	𐑕𐑢𐑭𐑥𐑐		high
TR08	Deep Water	𐑛𐑰𐑐 𐑢𐑷𐑑𐑼		high
TR09	Shallow Water	𐑖𐑨𐑤𐑴 𐑢𐑷𐑑𐑼		high
TR10	Ford	𐑓𐑹𐑛		high
TR11	Cave	𐑒𐑱𐑝		high
