term_id	term	canonical_translation	notes	confidence
F01	Loyalists	Loyalists		high
F02	Rebels	Rebels		high
F03	Undead	Undead		high
F04	Northerners	Northerners		high
F05	Drakes	Drakes		high
F06	Knalgan Alliance	Knalgan Alliance		high
F07	Dunefolk	Dunefolk		high
R01	Elvish		not found in .po files	low
R02	Orcish		not found in .po files	low
R03	Dwarven		not found in .po files	low
R04	Drake	Drake		high
R05	Naga	Naga		high
R06	Merman/Mermaid		not found in .po files	low
R07	Troll	Troll		high
R08	Wose	Wose		high
A01	Lawful	lawful		high
A02	Neutral	neutral		high
A03	Chaotic	chaotic		high
A04	Liminal	liminal		high
T01	Dawn	Dawn		high
T02	Morning	Morning		high
T03	Afternoon	Afternoon		high
T04	Dusk	Dusk		high
T05	First Watch	First Watch		high
T06	Second Watch	Second Watch		high
G01	Campaign	Campaign		high
G02	Scenario	Scenario		high
G03	Side	Side		high
G04	Village	Village		high
G05	Income	Income		high
G06	Gold	Gold		high
G07	Experience		not found in .po files	low
G08	Level	Level		high
G09	Turn	Turn		high
G10	Hex		not found in .po files	low
G11	Castle	Castle		high
G12	Keep	Keep		high
G13	Zone of Control	Zone of Control		high
G14	Recall	Recall		high
G15	Recruit	Recruit		high
G16	Leader	Leader		high
C01	leadership	leadership		high
C02	healing		not found in .po files	low
C03	slow	slow		high
C04	poison	poison		high
C05	petrify		not found in .po files	low
C06	berserk	berserk		high
C07	skirmisher	skirmisher		high
C08	marksman	marksman		high
C09	magical	magical		high
C10	steadfast	steadfast		high
C11	regenerates	regenerates		high
C12	ambush	ambush		high
C13	illumination		not found in .po files	low
C14	concealment	concealment		high
TR01	Forest	Forest		high
TR02	Hills	Hills		high
TR03	Mountains	Mountains		high
TR04	Flat	Flat		high
TR05	Sand	Sand		high
TR06	Frozen	Frozen		high
TR07	Swamp	Swamp		high
TR08	Deep Water	Deep Water		high
TR09	Shallow Water	Shallow Water		high
TR10	Ford	Ford		high
TR11	Cave	Cave		high
