term_id	term	canonical_translation	notes	confidence
F01	Loyalists	Leales		high
F02	Rebels	Rebeldes		high
F03	Undead	No muertos		high
F04	Northerners	Norteños		high
F05	Drakes	Dracos		high
F06	Knalgan Alliance	Alianza de Knalga		high
F07	Dunefolk	Barjanes		high
R01	Elvish		not found in .po files	low
R02	Orcish		not found in .po files	low
R03	Dwarven		not found in .po files	low
R04	Drake	Draco		high
R05	Naga	Naga		high
R06	Merman/Mermaid		not found in .po files	low
R07	Troll	Trol		high
R08	Wose	Wose		high
A01	Lawful	legal		high
A02	Neutral	neutral		high
A03	Chaotic	caótico		high
A04	Liminal	crepuscular		high
T01	Dawn	Amanecer		high
T02	Morning	Mañana		high
T03	Afternoon	Tarde		high
T04	Dusk	Atardecer		high
T05	First Watch	Primer turno		high
T06	Second Watch	Segundo turno		high
G01	Campaign	Campaña		high
G02	Scenario	Escenario		high
G03	Side	Bando		high
G04	Village	Aldea		high
G05	Income	Ingresos		high
G06	Gold	Oro		high
G07	Experience		not found in .po files	low
G08	Level	Nivel		high
G09	Turn	Turno		high
G10	Hex		not found in .po files	low
G11	Castle	Castillo		high
G12	Keep	Torreón		high
G13	Zone of Control	Zona de control		high
G14	Recall	Reincorporar		high
G15	Recruit	Reclutar		high
G16	Leader	Líder		high
C01	leadership	liderazgo		high
C02	healing		not found in .po files	low
C03	slow	lento		high
C04	poison	veneno		high
C05	petrify		not found in .po files	low
C06	berserk	frenesí		high
C07	skirmisher	hostigador		high
C08	marksman	tirador		high
C09	magical	mágico		high
C10	steadfast	firme		high
C11	regenerates	regenera		high
C12	ambush	emboscar		high
C13	illumination		not found in .po files	low
C14	concealment	ocultarse		high
TR01	Forest	Bosque		high
TR02	Hills	Colinas		high
TR03	Mountains	Montañas		high
TR04	Flat	Llanura		high
TR05	Sand	Arena		high
TR06	Frozen	Hielo		high
TR07	Swamp	Pantano		high
TR08	Deep Water	Aguas profundas		high
TR09	Shallow Water	Aguas someras		high
TR10	Ford	Vado		high
TR11	Cave	Cueva		high
