term_id	term	canonical_translation	notes	confidence
F01	Loyalists	Loyalists		high
F02	Rebels	Kapinalliset		high
F03	Undead	Epäkuolleet		high
F04	Northerners	Northerners		high
F05	Drakes	Draakit		high
F06	Knalgan Alliance	Knalgan liittokunta		high
F07	Dunefolk	Dyynikansa		high
R01	Elvish		not found in .po files	low
R02	Orcish		not found in .po files	low
R03	Dwarven		not found in .po files	low
R04	Drake	Draakki		high
R05	Naga	Naga		high
R06	Merman/Mermaid		not found in .po files	low
R07	Troll	Peikko		high
R08	Wose	Puupaimen		high
A01	Lawful	lainkuuliainen		high
A02	Neutral	neutraali		high
A03	Chaotic	kaoottinen		high
A04	Liminal	liminaali		high
T01	Dawn	aamu		high
T02	Morning	Aamu		high
T03	Afternoon	iltapäivä		high
T04	Dusk	ilta		high
T05	First Watch	iltayö		high
T06	Second Watch	aamuyö		high
G01	Campaign	Kampanja		high
G02	Scenario	Skenaario		high
G03	Side	Puoli		high
G04	Village	Kylä		high
G05	Income	Tulot		high
G06	Gold	Kultaa		high
G07	Experience		not found in .po files	low
G08	Level	Taso		high
G09	Turn	Vuoro		high
G10	Hex		not found in .po files	low
G11	Castle	Linna		high
G12	Keep	Torni		high
G13	Zone of Control	Yksikön hallitsema alue		high
G14	Recall	Kutsu veteraaniyksikkö		high
G15	Recruit	Värvää		high
G16	Leader	Johtaja		high
C01	leadership	johtaja		high
C02	healing		not found in .po files	low
C03	slow	hidas		high
C04	poison	myrkky		high
C05	petrify		not found in .po files	low
C06	berserk	hurmos		high
C07	skirmisher	kahakointi		high
C08	marksman	tarkk’ampuja		high
C09	magical	maaginen		high
C10	steadfast	vankkumaton		high
C11	regenerates	uusiutuu		high
C12	ambush	väijytys		high
C13	illumination		not found in .po files	low
C14	concealment	piiloutuminen		high
TR01	Forest	Metsä		high
TR02	Hills	Mäki		high
TR03	Mountains	Vuori		high
TR04	Flat	Tasamaa		high
TR05	Sand	Hiekkaa		high
TR06	Frozen	Jäätynyt		high
TR07	Swamp	suo		high
TR08	Deep Water	syvää vettä		high
TR09	Shallow Water	matalaa vettä		high
TR10	Ford	töyräs		high
TR11	Cave	Luola		high
