term_id	term	canonical_translation	notes	confidence
F01	Loyalists	Loyalistes		high
F02	Rebels	Rebelles		high
F03	Undead	Morts-vivants		high
F04	Northerners	Nordiques		high
F05	Drakes	Dracans		high
F06	Knalgan Alliance	Alliance knalgane		high
F07	Dunefolk	Ammorites		high
R01	Elvish		not found in .po files	low
R02	Orcish		not found in .po files	low
R03	Dwarven		not found in .po files	low
R04	Drake	Dracan		high
R05	Naga	Naga		high
R06	Merman/Mermaid		not found in .po files	low
R07	Troll	Troll		high
R08	Wose	Wose		high
A01	Lawful	loyal		high
A02	Neutral	neutre		high
A03	Chaotic	chaotique		high
A04	Liminal	liminal		high
T01	Dawn	Aube		high
T02	Morning	Matin		high
T03	Afternoon	Après-midi		high
T04	Dusk	Crépuscule		high
T05	First Watch	Premier quart		high
T06	Second Watch	Deuxième quart		high
G01	Campaign	Campagne		high
G02	Scenario	Scénario		high
G03	Side	Camp		high
G04	Village	Village		high
G05	Income	Revenu		high
G06	Gold	Or		high
G07	Experience		not found in .po files	low
G08	Level	Niveau		high
G09	Turn	Tour		high
G10	Hex		not found in .po files	low
G11	Castle	Château		high
G12	Keep	Donjon		high
G13	Zone of Control	Zone de contrôle		high
G14	Recall	Rappeler		high
G15	Recruit	Recruter		high
G16	Leader	Chef		high
C01	leadership	commandement		high
C02	healing		not found in .po files	low
C03	slow	lent		high
C04	poison	empoisonnement		high
C05	petrify		not found in .po files	low
C06	berserk	fureur berserk		high
C07	skirmisher	tirailleur		high
C08	marksman	tir d'élite		high
C09	magical	magique		high
C10	steadfast	inébranlable		high
C11	regenerates	régénération		high
C12	ambush	embuscade		high
C13	illumination		not found in .po files	low
C14	concealment	dissimulation		high
TR01	Forest	Forêt		high
TR02	Hills	Collines		high
TR03	Mountains	Montagnes		high
TR04	Flat	Plat		high
TR05	Sand	Sable		high
TR06	Frozen	Gelé		high
TR07	Swamp	Marais		high
TR08	Deep Water	Eau profonde		high
TR09	Shallow Water	Eau peu profonde		high
TR10	Ford	Gué		high
TR11	Cave	Caverne		high
