term_id	term	canonical_translation	notes	confidence
F01	Loyalists	Dílseoirí		high
F02	Rebels	Reibiliúnacha		high
F03	Undead	Neamh-mharbha		high
F04	Northerners	Tuaisceartachtaí		high
F05	Drakes	Dragúinin		high
F06	Knalgan Alliance	Cairdeas Knalganach		high
F07	Dunefolk	Neamh-mharbha		high
R01	Elvish		not found in .po files	low
R02	Orcish		not found in .po files	low
R03	Dwarven		not found in .po files	low
R04	Drake	Dragúnín		high
R05	Naga	Naga		high
R06	Merman/Mermaid		not found in .po files	low
R07	Troll	Troll		high
R08	Wose	Wús		high
A01	Lawful	fiann		high
A02	Neutral	neodrach		high
A03	Chaotic	díbheargach		high
A04	Liminal	clapsholas		high
T01	Dawn	Breacadh		high
T02	Morning	Rabhadh		high
T03	Afternoon	Tráthnóna		high
T04	Dusk	Breacdhorcha		high
T05	First Watch	An Chéad Oíche		high
T06	Second Watch	An Dara Oíche		high
G01	Campaign	Feachtas		high
G02	Scenario	Críochnaigh Mísean		high
G03	Side	Foireann		high
G04	Village	Baile		high
G05	Income	Fáilte		high
G06	Gold	Ór		high
G07	Experience		not found in .po files	low
G08	Level	leibhéal		high
G09	Turn	Seal		high
G10	Hex		not found in .po files	low
G11	Castle	Caisleán		high
G12	Keep	Daingean		high
G13	Zone of Control		not found in .po files	low
G14	Recall	Athghair		high
G15	Recruit	Earcaigh		high
G16	Leader	Treoraí		high
C01	leadership	ceannas		high
C02	healing		not found in .po files	low
C03	slow	mall		high
C04	poison	nimh		high
C05	petrify		not found in .po files	low
C06	berserk	dásatach		high
C07	skirmisher	scirmiseoir		high
C08	marksman	aimsitheoir		high
C09	magical	draíochtúil		high
C10	steadfast	storrúil		high
C11	regenerates	athginiúnach		high
C12	ambush	luíochán		high
C13	illumination		not found in .po files	low
C14	concealment	ceilt		high
TR01	Forest	Foraois		high
TR02	Hills	Maruithe		high
TR03	Mountains	Sléibhte		high
TR04	Flat	Machaire		high
TR05	Sand	Gaineamh		high
TR06	Frozen	Reoite		high
TR07	Swamp	Corcach		high
TR08	Deep Water	Uisce Domhain		high
TR09	Shallow Water	Tanalacht		high
TR10	Ford	Áth		high
TR11	Cave	Uaimh		high
