term_id	term	canonical_translation	notes	confidence
F01	Loyalists	Na dìlsich		high
F02	Rebels	Aramaichean		high
F03	Undead	Closaich		high
F04	Northerners	Na tuathaich		high
F05	Drakes	Dràic		high
F06	Knalgan Alliance	Caidreachas Chnalga		high
F07	Dunefolk	Muinntir na Gainmhich		high
R01	Elvish		not found in .po files	low
R02	Orcish		not found in .po files	low
R03	Dwarven		not found in .po files	low
R04	Drake	Dràc		high
R05	Naga	Naga		high
R06	Merman/Mermaid		not found in .po files	low
R07	Troll	Athach		high
R08	Wose	Gille-dubh		high
A01	Lawful	dligheach		high
A02	Neutral	neodrach		high
A03	Chaotic	coimeasgach		high
A04	Liminal	stairsnich		high
T01	Dawn	Camhanach		high
T02	Morning	Rabhadh		high
T03	Afternoon	Feasgar		high
T04	Dusk	Ciaradh		high
T05	First Watch	A’ chiad fhaire		high
T06	Second Watch	An dàrna faire		high
G01	Campaign	Iomairtean		high
G02	Scenario	Cnàmh-sgeul deiseil		high
G03	Side	Taobh		high
G04	Village	Baile		high
G05	Income	Teachd a-steach		high
G06	Gold	Òr		high
G07	Experience		not found in .po files	low
G08	Level	Rang		high
G09	Turn	Cuairt		high
G10	Hex		not found in .po files	low
G11	Castle	Caisteal		high
G12	Keep	Daingean		high
G13	Zone of Control	Raon-smachd		high
G14	Recall	Ais-ghairm		high
G15	Recruit	Trus		high
G16	Leader	Ceannard		high
C01	leadership	ceannardas		high
C02	healing		not found in .po files	low
C03	slow	slaodach		high
C04	poison	puinsean		high
C05	petrify		not found in .po files	low
C06	berserk	mire-chatha		high
C07	skirmisher	streupaire		high
C08	marksman	gìomanach		high
C09	magical	draoidheach		high
C10	steadfast	seasmhach		high
C11	regenerates	ath-ghintinn		high
C12	ambush	fàth		high
C13	illumination		not found in .po files	low
C14	concealment	falach		high
TR01	Forest	Coille		high
TR02	Hills	Cnuic		high
TR03	Mountains	Beanntan		high
TR04	Flat	Rèidh		high
TR05	Sand	Gaineamh		high
TR06	Frozen	Reòite		high
TR07	Swamp	Boglach		high
TR08	Deep Water	Uisge domhain		high
TR09	Shallow Water	Tanalach		high
TR10	Ford	Àth		high
TR11	Cave	Uamh		high
