term_id	term	canonical_translation	notes	confidence
F01	Loyalists	Leais		high
F02	Rebels	Rebeldes		high
F03	Undead	Non mortos		high
F04	Northerners	Setentrionais		high
F05	Drakes	Draconiáns		high
F06	Knalgan Alliance	Alianza de Neilga		high
F07	Dunefolk	Moradores das dunas		high
R01	Elvish		not found in .po files	low
R02	Orcish		not found in .po files	low
R03	Dwarven		not found in .po files	low
R04	Drake	Draconián		high
R05	Naga	Naga macho		high
R06	Merman/Mermaid		not found in .po files	low
R07	Troll	Trol		high
R08	Wose	Arboán		high
A01	Lawful	legal		high
A02	Neutral	neutral		high
A03	Chaotic	caótico		high
A04	Liminal	crepuscular		high
T01	Dawn	Amencer		high
T02	Morning	Mañá		high
T03	Afternoon	Tarde		high
T04	Dusk	Anoitecer		high
T05	First Watch	Primeira vixilia		high
T06	Second Watch	Segunda vixilia		high
G01	Campaign	Campaña		high
G02	Scenario	Escenario		high
G03	Side	Bando		high
G04	Village	Vila		high
G05	Income	Ingresos		high
G06	Gold	Ouro		high
G07	Experience		not found in .po files	low
G08	Level	Nivel		high
G09	Turn	Rolda		high
G10	Hex		not found in .po files	low
G11	Castle	Castelo		high
G12	Keep	Torre		high
G13	Zone of Control	Zona de control		high
G14	Recall	Reincorporar		high
G15	Recruit	Recrutar		high
G16	Leader	Líder		high
C01	leadership	líder		high
C02	healing		not found in .po files	low
C03	slow	lento		high
C04	poison	velenoso		high
C05	petrify		not found in .po files	low
C06	berserk	furioso		high
C07	skirmisher	guerrilleiro		high
C08	marksman	puntería		high
C09	magical	máxico		high
C10	steadfast	firme		high
C11	regenerates	rexenérase		high
C12	ambush	embosca		high
C13	illumination		not found in .po files	low
C14	concealment	ocúltase		high
TR01	Forest	Bosque		high
TR02	Hills	Outeiros		high
TR03	Mountains	Montañas		high
TR04	Flat	Herbal		high
TR05	Sand	Area		high
TR06	Frozen	Xeo		high
TR07	Swamp	Braña		high
TR08	Deep Water	Auga profunda		high
TR09	Shallow Water	Auga pouco profunda		high
TR10	Ford	Vao		high
TR11	Cave	Cova		high
