term_id	term	canonical_translation	notes	confidence
F01	Loyalists	Lojalisták		high
F02	Rebels	Lázadók		high
F03	Undead	Élőholtak		high
F04	Northerners	Északiak		high
F05	Drakes	Perzsekények		high
F06	Knalgan Alliance	Knalgai szövetség		high
F07	Dunefolk	Dűnenép		high
R01	Elvish		not found in .po files	low
R02	Orcish		not found in .po files	low
R03	Dwarven		not found in .po files	low
R04	Drake	Perzsekény		high
R05	Naga	Naga		high
R06	Merman/Mermaid		not found in .po files	low
R07	Troll	Troll		high
R08	Wose	Fapásztor		high
A01	Lawful	igazságos		high
A02	Neutral	semleges		high
A03	Chaotic	törvénytelen		high
A04	Liminal	ingatag		high
T01	Dawn	hajnal		high
T02	Morning	reggel		high
T03	Afternoon	délután		high
T04	Dusk	alkonyat		high
T05	First Watch	Első őrjárat		high
T06	Second Watch	Második őrjárat		high
G01	Campaign	Hadjárat		high
G02	Scenario	Küldetés		high
G03	Side	Csapat		high
G04	Village	Falu		high
G05	Income	Bevétel		high
G06	Gold	Arany		high
G07	Experience		not found in .po files	low
G08	Level	szint		high
G09	Turn	Kör		high
G10	Hex		not found in .po files	low
G11	Castle	Várkastély		high
G12	Keep	Torony		high
G13	Zone of Control	Ellenőrzött terület		high
G14	Recall	Visszahívás		high
G15	Recruit	Toborzás		high
G16	Leader	Vezér		high
C01	leadership	hadvezetés		high
C02	healing		not found in .po files	low
C03	slow	lassú		high
C04	poison	mérgezés		high
C05	petrify		not found in .po files	low
C06	berserk	dühöngés		high
C07	skirmisher	portyázó		high
C08	marksman	mesterlövész		high
C09	magical	mágikus		high
C10	steadfast	rendíthetetlen		high
C11	regenerates	regenerálódás		high
C12	ambush	rajtaütés		high
C13	illumination		not found in .po files	low
C14	concealment	rejtőzködés		high
TR01	Forest	Erdőség		high
TR02	Hills	Dombság		high
TR03	Mountains	Hegyvidék		high
TR04	Flat	Síkság		high
TR05	Sand	Homok		high
TR06	Frozen	Jégmező		high
TR07	Swamp	Mocsár		high
TR08	Deep Water	Mély víz		high
TR09	Shallow Water	Sekély víz		high
TR10	Ford	Gázló		high
TR11	Cave	Barlang		high
