term_id	term	canonical_translation	notes	confidence
F01	Loyalists	Lealisti		high
F02	Rebels	Ribelli		high
F03	Undead	Non-morti		high
F04	Northerners	Settentrionali		high
F05	Drakes	Draghi		high
F06	Knalgan Alliance	Alleanza di Knalga		high
F07	Dunefolk	Popolo delle Dune		high
R01	Elvish		not found in .po files	low
R02	Orcish		not found in .po files	low
R03	Dwarven		not found in .po files	low
R04	Drake	Drago		high
R05	Naga	Naga		high
R06	Merman/Mermaid		not found in .po files	low
R07	Troll	Troll		high
R08	Wose	Wose		high
A01	Lawful	legale		high
A02	Neutral	neutrale		high
A03	Chaotic	caotico		high
A04	Liminal	liminale		high
T01	Dawn	Alba		high
T02	Morning	Mattino		high
T03	Afternoon	Pomeriggio		high
T04	Dusk	Crepuscolo		high
T05	First Watch	Prima Guardia		high
T06	Second Watch	Seconda Guardia		high
G01	Campaign	Campagna		high
G02	Scenario	Scenario		high
G03	Side	Squadra		high
G04	Village	Villaggio		high
G05	Income	Entrate		high
G06	Gold	Oro		high
G07	Experience		not found in .po files	low
G08	Level	Livello		high
G09	Turn	Turno		high
G10	Hex		not found in .po files	low
G11	Castle	Castello		high
G12	Keep	Fortezza		high
G13	Zone of Control	Zona di Controllo		high
G14	Recall	Richiama		high
G15	Recruit	Recluta		high
G16	Leader	Condottiero		high
C01	leadership	comando		high
C02	healing		not found in .po files	low
C03	slow	lento		high
C04	poison	veleno		high
C05	petrify		not found in .po files	low
C06	berserk	furia		high
C07	skirmisher	incursore		high
C08	marksman	colpo preciso		high
C09	magical	magico		high
C10	steadfast	fermezza		high
C11	regenerates	rigenerazione		high
C12	ambush	imboscata		high
C13	illumination		not found in .po files	low
C14	concealment	occultamento		high
TR01	Forest	Foresta		high
TR02	Hills	Colline		high
TR03	Mountains	Montagne		high
TR04	Flat	Pianura		high
TR05	Sand	Sabbia		high
TR06	Frozen	Congelato		high
TR07	Swamp	Palude		high
TR08	Deep Water	Acque profonde		high
TR09	Shallow Water	Acque basse		high
TR10	Ford	Guado		high
TR11	Cave	Caverna		high
