term_id	term	canonical_translation	notes	confidence
F01	Loyalists	Fideles		high
F02	Rebels	Rebelles		high
F03	Undead	Immortua		high
F04	Northerners	Septentrionales		high
F05	Drakes	Draculi		high
F06	Knalgan Alliance	Societas Gnalgae		high
F07	Dunefolk	Immortua		high
R01	Elvish		not found in .po files	low
R02	Orcish		not found in .po files	low
R03	Dwarven		not found in .po files	low
R04	Drake	Draculus		high
R05	Naga	Hydradis		high
R06	Merman/Mermaid		not found in .po files	low
R07	Troll	Troglodyta		high
R08	Wose	Vidanum		high
A01	Lawful	diurna		high
A02	Neutral	medius		high
A03	Chaotic	nocturnus		high
A04	Liminal	anceps		high
T01	Dawn	Diluculum		high
T02	Morning	Monitus		high
T03	Afternoon	Post Meridiem		high
T04	Dusk	Crepusculum		high
T05	First Watch	Vigilia Prima		high
T06	Second Watch	Vigilia Secunda		high
G01	Campaign	Militia		high
G02	Scenario	Scaenarium		high
G03	Side	Manus		high
G04	Village	Viculus		high
G05	Income	Salve		high
G06	Gold	Aurei		high
G07	Experience		not found in .po files	low
G08	Level	ordo		high
G09	Turn	Vicis		high
G10	Hex		not found in .po files	low
G11	Castle	Castellum		high
G12	Keep	Arx		high
G13	Zone of Control		not found in .po files	low
G14	Recall	Evocare		high
G15	Recruit	Conscribere		high
G16	Leader	Dux		high
C01	leadership	ducatus		high
C02	healing		not found in .po files	low
C03	slow	lentus		high
C04	poison	venenat		high
C05	petrify		not found in .po files	low
C06	berserk	saevus		high
C07	skirmisher	concursatorius		high
C08	marksman	perspicax		high
C09	magical	magicus		high
C10	steadfast	constans		high
C11	regenerates	convalescit		high
C12	ambush	insidiae		high
C13	illumination		not found in .po files	low
C14	concealment	occultatio		high
TR01	Forest	Silva		high
TR02	Hills	Colles		high
TR03	Mountains	Montes		high
TR04	Flat	Planum		high
TR05	Sand	Harena		high
TR06	Frozen	Glacialis		high
TR07	Swamp	Palus		high
TR08	Deep Water	Salum		high
TR09	Shallow Water	Aqua		high
TR10	Ford	Vadum		high
TR11	Cave	Caverna		high
