term_id	term	canonical_translation	notes	confidence
F01	Loyalists	Lojalistai		high
F02	Rebels	Sukilėliai		high
F03	Undead	Nemirėliai		high
F04	Northerners	Šiauriečiai		high
F05	Drakes	Slibinai		high
F06	Knalgan Alliance	Knalgos sąjunga		high
F07	Dunefolk	Kopų žmonės		high
R01	Elvish		not found in .po files	low
R02	Orcish		not found in .po files	low
R03	Dwarven		not found in .po files	low
R04	Drake	Slibinas		high
R05	Naga	Nágas		high
R06	Merman/Mermaid		not found in .po files	low
R07	Troll	Trolis		high
R08	Wose	Miškinis		high
A01	Lawful	šviesus		high
A02	Neutral	neutralus		high
A03	Chaotic	chaotiškas		high
A04	Liminal	prieblandos		high
T01	Dawn	Aušra		high
T02	Morning	Rytas	ISSUE: extracted string 'Įspėjimas' means Warning in Lithuanian, not the time-of-day Morning. Corrected to 'Rytas'.	high
T03	Afternoon	Popietė		high
T04	Dusk	Prieblanda		high
T05	First Watch	Pirmoji sargyba		high
T06	Second Watch	Antroji sargyba		high
G01	Campaign	Kampanijos		high
G02	Scenario	Baigti scenarijų		high
G03	Side	Pusė		high
G04	Village	Kaimas		high
G05	Income	Pajamos		high
G06	Gold	Auksas		high
G07	Experience		not found in .po files	low
G08	Level		not found in .po files	low
G09	Turn	Ėjimas		high
G10	Hex		not found in .po files	low
G11	Castle	Pilis		high
G12	Keep	Bokštas		high
G13	Zone of Control	Kontroliuojama Zona		high
G14	Recall	Grąžinti		high
G15	Recruit	Samdyti		high
G16	Leader	Vadas		high
C01	leadership	vadovavimas		high
C02	healing		not found in .po files	low
C03	slow	lėtas		high
C04	poison	nuodai		high
C05	petrify		not found in .po files	low
C06	berserk	berserkas		high
C07	skirmisher	peštukas		high
C08	marksman	snaiperis		high
C09	magical	magiška		high
C10	steadfast	atsparus		high
C11	regenerates	regeneruoja		high
C12	ambush	pasalūnas		high
C13	illumination		not found in .po files	low
C14	concealment	slėpimasis		high
TR01	Forest	Miškas		high
TR02	Hills	Kalvos		high
TR03	Mountains	Kalnai		high
TR04	Flat	Plokščia		high
TR05	Sand	Smėlis		high
TR06	Frozen	Užšalusi		high
TR07	Swamp	Pelkė		high
TR08	Deep Water	Gilus vanduo		high
TR09	Shallow Water	Seklus vanduo		high
TR10	Ford	Brasta		high
TR11	Cave	Urvas		high
