term_id	term	canonical_translation	notes	confidence
F01	Loyalists	Lojalister		high
F02	Rebels	Utbrytere		high
F03	Undead	Vandøde		high
F04	Northerners	Nordlendinger		high
F05	Drakes	Draker		high
F06	Knalgan Alliance	Knalgaforbundet		high
F07	Dunefolk	Sandfolket		high
R01	Elvish		not found in .po files	low
R02	Orcish		not found in .po files	low
R03	Dwarven		not found in .po files	low
R04	Drake	Drake		high
R05	Naga	Naga		high
R06	Merman/Mermaid		not found in .po files	low
R07	Troll	Troll		high
R08	Wose	Trehyrde		high
A01	Lawful	lovlydig		high
A02	Neutral	nøytral		high
A03	Chaotic	kaotisk		high
A04	Liminal	diffus		high
T01	Dawn	Morgengry		high
T02	Morning	Morgen	ISSUE: extracted string 'Advarsel' means Warning in Norwegian Bokmål, not the time-of-day Morning. Corrected to 'Morgen'.	high
T03	Afternoon	Ettermiddag		high
T04	Dusk	Skumring		high
T05	First Watch	Kveld		high
T06	Second Watch	Natt		high
G01	Campaign	Kampanje		high
G02	Scenario	Scenario		high
G03	Side	Side		high
G04	Village	Landsby		high
G05	Income	Inntekt		high
G06	Gold	Gull		high
G07	Experience		not found in .po files	low
G08	Level	Nivå		high
G09	Turn	Runde		high
G10	Hex		not found in .po files	low
G11	Castle	Borg		high
G12	Keep	Vakttårn		high
G13	Zone of Control	Kontrollsone		high
G14	Recall	Tilbakekall		high
G15	Recruit	Rekrutter		high
G16	Leader	Leder		high
C01	leadership	leder		high
C02	healing		not found in .po files	low
C03	slow	treg		high
C04	poison	giftig		high
C05	petrify		not found in .po files	low
C06	berserk	berserkergang		high
C07	skirmisher	linjebryter		high
C08	marksman	skarpskytende		high
C09	magical	magisk		high
C10	steadfast	standhaftig		high
C11	regenerates	regenererer		high
C12	ambush	skogsniker		high
C13	illumination		not found in .po files	low
C14	concealment	skjulested		high
TR01	Forest	Skog		high
TR02	Hills	Åser		high
TR03	Mountains	Fjell		high
TR04	Flat	Flatt		high
TR05	Sand	Sand		high
TR06	Frozen	Frosset		high
TR07	Swamp	Sump		high
TR08	Deep Water	Dypt vann		high
TR09	Shallow Water	Grundt vann		high
TR10	Ford	Vadested		high
TR11	Cave	Grotte		high
