term_id	term	canonical_translation	notes	confidence
F01	Loyalists	Lojaliści		high
F02	Rebels	Buntownicy		high
F03	Undead	Nieumarli		high
F04	Northerners	Ludy północy		high
F05	Drakes	Smoki		high
F06	Knalgan Alliance	Sojusz Knalgański		high
F07	Dunefolk	Ludy pustyni		high
R01	Elvish		not found in .po files	low
R02	Orcish		not found in .po files	low
R03	Dwarven		not found in .po files	low
R04	Drake	Smok		high
R05	Naga	Naga		high
R06	Merman/Mermaid		not found in .po files	low
R07	Troll	Troll		high
R08	Wose	Drzewiec		high
A01	Lawful	praworządny		high
A02	Neutral	neutralny		high
A03	Chaotic	chaotyczny		high
A04	Liminal	półmroczny		high
T01	Dawn	Świt		high
T02	Morning	Poranek		high
T03	Afternoon	Popołudnie		high
T04	Dusk	Zmierzch		high
T05	First Watch	Pierwsza straż		high
T06	Second Watch	Druga straż		high
G01	Campaign	Kampania		high
G02	Scenario	Scenariusz		high
G03	Side	Strona		high
G04	Village	Wioska		high
G05	Income	Dochód		high
G06	Gold	Złoto		high
G07	Experience		not found in .po files	low
G08	Level	poziom		high
G09	Turn	Tura		high
G10	Hex		not found in .po files	low
G11	Castle	Zamek		high
G12	Keep	Twierdza		high
G13	Zone of Control	Strefa kontroli		high
G14	Recall	Przywołaj		high
G15	Recruit	Rekrutuj		high
G16	Leader	Przywódca		high
C01	leadership	dowodzenie		high
C02	healing		not found in .po files	low
C03	slow	powolny		high
C04	poison	trucizna		high
C05	petrify		not found in .po files	low
C06	berserk	berserk		high
C07	skirmisher	harcownik		high
C08	marksman	strzelec wyborowy		high
C09	magical	magiczny		high
C10	steadfast	niezłomny		high
C11	regenerates	regeneruje się		high
C12	ambush	zasadzka		high
C13	illumination		not found in .po files	low
C14	concealment	ukrywanie się		high
TR01	Forest	Las		high
TR02	Hills	Wzgórza		high
TR03	Mountains	Góry		high
TR04	Flat	Płaski		high
TR05	Sand	Piasek		high
TR06	Frozen	Zamarznięty		high
TR07	Swamp	Bagno		high
TR08	Deep Water	Głęboka woda		high
TR09	Shallow Water	Płytka woda		high
TR10	Ford	Bród		high
TR11	Cave	Jaskinia		high
