term_id	term	canonical_translation	notes	confidence
F01	Loyalists	Lojalisti		high
F02	Rebels	Rebeli		high
F03	Undead	Nemŕtvi		high
F04	Northerners	Severania		high
F05	Drakes	Jašteri		high
F06	Knalgan Alliance	Aliancia Knalgy		high
F07	Dunefolk	Púštni ľudia		high
R01	Elvish		not found in .po files	low
R02	Orcish		not found in .po files	low
R03	Dwarven		not found in .po files	low
R04	Drake	Jašter		high
R05	Naga	Hadí človek		high
R06	Merman/Mermaid		not found in .po files	low
R07	Troll	Trol		high
R08	Wose	Lesný muž		high
A01	Lawful	poriadok		high
A02	Neutral	neutrál		high
A03	Chaotic	chaos		high
A04	Liminal	na rozhraní		high
T01	Dawn	Svitanie		high
T02	Morning	Ráno	ISSUE: extracted string 'Varovanie' means Warning in Slovak, not the time-of-day Morning. Corrected to 'Ráno'.	high
T03	Afternoon	Popoludnie		high
T04	Dusk	Súmrak		high
T05	First Watch	Prvá hliadka		high
T06	Second Watch	Druhá hliadka		high
G01	Campaign	Výprava		high
G02	Scenario	Scéna		high
G03	Side	Strana		high
G04	Village	Dedina		high
G05	Income	Príjem		high
G06	Gold	Zlato		high
G07	Experience		not found in .po files	low
G08	Level	Úroveň		high
G09	Turn	Kolo		high
G10	Hex		not found in .po files	low
G11	Castle	Hrad		high
G12	Keep	Pevnosť		high
G13	Zone of Control	Zóna kontroly		high
G14	Recall	Privolaj		high
G15	Recruit	Verbuj		high
G16	Leader	Veliteľ		high
C01	leadership	velenie		high
C02	healing		not found in .po files	low
C03	slow	pomalý		high
C04	poison	jed		high
C05	petrify		not found in .po files	low
C06	berserk	zúrivý		high
C07	skirmisher	priebojný		high
C08	marksman	presný		high
C09	magical	magický		high
C10	steadfast	neoblomný		high
C11	regenerates	regeneruje		high
C12	ambush	prepad		high
C13	illumination		not found in .po files	low
C14	concealment	utajenie		high
TR01	Forest	Les		high
TR02	Hills	Kopce		high
TR03	Mountains	Hory		high
TR04	Flat	Rovina		high
TR05	Sand	Piesok		high
TR06	Frozen	Zamrznuté		high
TR07	Swamp	Močiar		high
TR08	Deep Water	Hlboká voda		high
TR09	Shallow Water	Plytká voda		high
TR10	Ford	Brod		high
TR11	Cave	Jaskyňa		high
